Unnamed: 0,Address,Location,Rent,Bed,Bath,Size,Description,Commute,Crime,Income,URL
237,"Willow Glen, San Jose, CA",1352 Pine Ave,"$6,600/mo",3bd,2.5ba,955 sqft,"1352 Pine Ave, San Jose, CA is a 3 bedroom, 2.5 bathroom, 3,700 sqft single-family home built in 1965. 1352 Pine Ave is located in Willow Glen, San Jose. 1352 Pine Ave was listed for rent for $6,600/month on Mar 11, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$237,600 ",https://www.trulia.com/p/ca/san-jose/1352-pine-ave-san-jose-ca-95125--2084511077
238,"Evergreen, San Jose, CA",3617 Ruther Place Way,"$3,900/mo",4bd,3ba,"3,340 sqft","3617 Ruther Place Way, San Jose, CA is a 4 bedroom, 3 bathroom, 2,000 sqft single-family home built in 1973. 3617 Ruther Place Way is located in Evergreen, San Jose. 3617 Ruther Place Way was listed for rent for $3,900/month on Mar 11, 2020.",Commute97% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$140,400 ",https://www.trulia.com/p/ca/san-jose/3617-ruther-place-way-san-jose-ca-95121--1138496295
239,"San Jose, CA",Address Not Disclosed,"$3,500/mo",3bd,1ba,"1,550 sqft","This home in San Jose, CA is a 3 bedroom, 1 bathroom, 1,118 sqft single-family home built in 1951. This property was listed for rent for $3,500/month on Mar 13, 2020.",Commute93% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$126,000 ",https://www.trulia.com/p/ca/san-jose/address-not-disclosed-san-jose-ca-95127--2084540578
240,"West Portal, San Francisco, CA",2570 16th Ave,"$1,600/mo",1bd,1ba,"2,000 sqft","2570 16th Ave, San Francisco, CA is a 1 bedroom, 1 bathroom, 2,400 sqft single-family home built in 1927. 2570 16th Ave is located in West Portal, San Francisco. 2570 16th Ave was listed for rent for $1,600/month on Mar 12, 2020.",Commute67% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$57,600 ",https://www.trulia.com/p/ca/san-francisco/2570-16th-ave-san-francisco-ca-94116--1062475167
241,"Clarendon Heights, San Francisco, CA",242 Romain St,"$4,500/mo",2bd,1ba,"1,575 sqft","242 Romain St, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,377 sqft single-family home built in 1936. 242 Romain St is located in Clarendon Heights, San Francisco. 242 Romain St was listed for rent for $4,500/month on Mar 10, 2020.",Commute59% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$162,000 ",https://www.trulia.com/p/ca/san-francisco/242-romain-st-san-francisco-ca-94131--2083072703
242,"Sherwood Forest, San Francisco, CA",149 Robinhood Dr,"$5,200/mo",4bd,2.5ba,"1,977 sqft","149 Robinhood Dr, San Francisco, CA is a 4 bedroom, 2.5 bathroom, 1,825 sqft single-family home built in 1954. 149 Robinhood Dr is located in Sherwood Forest, San Francisco. 149 Robinhood Dr was listed for rent for $5,200/month on Mar 13, 2020. This property is pet friendly.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$187,200 ",https://www.trulia.com/p/ca/san-francisco/149-robinhood-dr-san-francisco-ca-94127--2083060242
243,"Bernal Heights, San Francisco, CA",Address Not Disclosed,"$3,590/mo",2bd,1ba,"1,850 sqft","This home in San Francisco, CA is a 2 bedroom, 1 bathroom, 700 sqft single-family home built in 1925. This home is located in Bernal Heights, San Francisco. This property was listed for rent for $3,590/month on Mar 8, 2020. This property is pet friendly.",Commute40% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$129,240 ",https://www.trulia.com/p/ca/san-francisco/address-not-disclosed-san-francisco-ca-94110--2082909090
244,"Outer Sunset, San Francisco, CA",Address Not Disclosed,"$2,800/mo",2bd,1ba,"1,200 sqft","This home in San Francisco, CA is a 2 bedroom, 1 bathroom, 1,940 sqft single-family home built in 1941. This home is located in Outer Sunset, San Francisco. This property was listed for rent for $2,800/month on Mar 7, 2020.",Commute63% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$100,800 ",https://www.trulia.com/p/ca/san-francisco/address-not-disclosed-san-francisco-ca-94122--2083023972
245,"Nob Hill, San Francisco, CA",1257 Jackson St,"$5,400/mo",3bd,1ba,"1,400 sqft","1257 Jackson St, San Francisco, CA is a 3 bedroom, 1 bathroom, 1,500 sqft single-family home. 1257 Jackson St is located in Nob Hill, San Francisco. 1257 Jackson St was listed for rent for $5,400/month on Mar 3, 2020.",Commute34% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$194,400 ",https://www.trulia.com/p/ca/san-francisco/1257-jackson-st-san-francisco-ca-94109--2082882008
246,"Sunnyside, San Francisco, CA",18 Joost Ave,"$4,095/mo",3bd,1ba,"2,000 sqft","18 Joost Ave, San Francisco, CA is a 3 bedroom, 1 bathroom single-family home. 18 Joost Ave is located in Sunnyside, San Francisco. 18 Joost Ave was listed for rent for $4,095/month on Mar 13, 2020. This property is pet friendly.",Commute59% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$147,420 ",https://www.trulia.com/p/ca/san-francisco/18-joost-ave-san-francisco-ca-94131--1009875684
247,"Ingleside Heights, San Francisco, CA",238 Chester Ave,"$4,950/mo",3bd,3ba,600 sqft,"238 Chester Ave, San Francisco, CA is a 3 bedroom, 3 bathroom, 1,700 sqft single-family home built in 1940. 238 Chester Ave is located in Ingleside Heights, San Francisco. 238 Chester Ave was listed for rent for $4,950/month on Mar 12, 2020.",Commute68% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$178,200 ",https://www.trulia.com/p/ca/san-francisco/238-chester-ave-san-francisco-ca-94132--1003007388
248,"Mission, San Francisco, CA",1945 Mission St #A,"$3,600/mo",2bd,1ba,950 sqft,"1945 Mission St #A, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,000 sqft single-family home. 1945 Mission St #A is located in Mission, San Francisco. 1945 Mission St #A was listed for rent for $3,600/month on Mar 4, 2020.",Commute32% of residents commute by car.,CrimeHighest crime relative to the rest of San Francisco county.,"$129,600 ",https://www.trulia.com/p/ca/san-francisco/1945-mission-st-a-san-francisco-ca-94103--2174049817
249,"Lone Mountain, San Francisco, CA",2572 McAllister St,"$4,200/mo",3bd,1ba,480 sqft,"2572 McAllister St, San Francisco, CA is a 3 bedroom, 1 bathroom, 1,200 sqft single-family home. 2572 McAllister St is located in Lone Mountain, San Francisco. 2572 McAllister St was listed for rent for $4,200/month on Mar 7, 2020.",Commute49% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$151,200 ",https://www.trulia.com/p/ca/san-francisco/2572-mcallister-st-san-francisco-ca-94118--2082996158
250,"Miraloma Park, San Francisco, CA",435 Marietta Dr,"$4,300/mo",3bd,2ba,"1,200 sqft","435 Marietta Dr, San Francisco, CA is a 3 bedroom, 2 bathroom, 1,750 sqft single-family home built in 1958. 435 Marietta Dr is located in Miraloma Park, San Francisco. 435 Marietta Dr was listed for rent for $4,300/month on Mar 9, 2020.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$154,800 ",https://www.trulia.com/p/ca/san-francisco/435-marietta-dr-san-francisco-ca-94127--1063677013
251,"Outer Richmond, San Francisco, CA",714 35th Ave,"$3,300/mo",2bd,1ba,"1,550 sqft","714 35th Ave, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,500 sqft single-family home. 714 35th Ave is located in Outer Richmond, San Francisco. 714 35th Ave was listed for rent for $3,300/month on Mar 12, 2020.",Commute60% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$118,800 ",https://www.trulia.com/p/ca/san-francisco/714-35th-ave-san-francisco-ca-94121--1064792168
252,"Ingleside, San Francisco, CA",79 Lee Ave,"$3,150/mo",2bd,1ba,"1,700 sqft","79 Lee Ave, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,000 sqft single-family home built in 1924. 79 Lee Ave is located in Ingleside, San Francisco. 79 Lee Ave was listed for rent for $3,150/month on Mar 7, 2020.",Commute62% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$113,400 ",https://www.trulia.com/p/ca/san-francisco/79-lee-ave-san-francisco-ca-94112--2082938332
253,"Bernal Heights, San Francisco, CA",201 Banks St,"$4,500/mo",2bd,1ba,"2,944 sqft","201 Banks St, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,050 sqft single-family home built in 1948. 201 Banks St is located in Bernal Heights, San Francisco. 201 Banks St was listed for rent for $4,500/month on Mar 12, 2020. This property is pet friendly.",Commute40% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$162,000 ",https://www.trulia.com/p/ca/san-francisco/201-banks-st-san-francisco-ca-94110--2082898996
254,"Visitacion Valley, San Francisco, CA",Address Not Disclosed,"$4,200/mo",3bd,2ba,988 sqft,"This home in San Francisco, CA is a 3 bedroom, 2 bathroom, 1,215 sqft single-family home built in 1947. This home is located in Visitacion Valley, San Francisco. This property was listed for rent for $4,200/month on Mar 13, 2020.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$151,200 ",https://www.trulia.com/p/ca/san-francisco/address-not-disclosed-san-francisco-ca-94134--2083099501
255,"Parkside, San Francisco, CA",2630 Quintara St,"$3,400/mo",2bd,1ba,"3,000 sqft","2630 Quintara St, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,200 sqft single-family home built in 1955. 2630 Quintara St is located in Parkside, San Francisco. 2630 Quintara St was listed for rent for $3,400/month on Mar 12, 2020.",Commute67% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$122,400 ",https://www.trulia.com/p/ca/san-francisco/2630-quintara-st-san-francisco-ca-94116--2082976179
256,"Outer Sunset, San Francisco, CA",Address Not Disclosed,"$3,350/mo",2bd,1ba,"1,586 sqft","This home in San Francisco, CA is a 2 bedroom, 1 bathroom, 1,000 sqft single-family home. This home is located in Outer Sunset, San Francisco. This property was listed for rent for $3,350/month on Mar 3, 2020.",Commute63% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$120,600 ",https://www.trulia.com/p/ca/san-francisco/address-not-disclosed-san-francisco-ca-94122--2083027961
257,"Outer Richmond, San Francisco, CA",538 22nd Ave,"$3,895/mo",2bd,1ba,"3,016 sqft","538 22nd Ave, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,075 sqft single-family home built in 1915. 538 22nd Ave is located in Outer Richmond, San Francisco. 538 22nd Ave was listed for rent for $3,895/month on Mar 6, 2020.",Commute60% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$140,220 ",https://www.trulia.com/p/ca/san-francisco/538-22nd-ave-san-francisco-ca-94121--2083012417
258,"Sherwood Forest, San Francisco, CA",284 Cresta Vista Dr,"$4,500/mo",3bd,2ba,"2,000 sqft","284 Cresta Vista Dr, San Francisco, CA is a 3 bedroom, 2 bathroom, 1,085 sqft single-family home built in 1964. 284 Cresta Vista Dr is located in Sherwood Forest, San Francisco. 284 Cresta Vista Dr was listed for rent for $4,500/month on Mar 10, 2020. This property is pet friendly.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$162,000 ",https://www.trulia.com/p/ca/san-francisco/284-cresta-vista-dr-san-francisco-ca-94127--1008882673
259,"Sunnyside, San Francisco, CA",Address Not Disclosed,"$3,950/mo",2bd,1ba,"1,225 sqft","This home in San Francisco, CA is a 2 bedroom, 1 bathroom, 1,075 sqft single-family home built in 1927. This home is located in Sunnyside, San Francisco. This property was listed for rent for $3,950/month on Mar 12, 2020.",Commute59% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$142,200 ",https://www.trulia.com/p/ca/san-francisco/address-not-disclosed-san-francisco-ca-94131--2083074279
260,"Cow Hollow, San Francisco, CA",2638 Lyon St,"$7,500/mo",3bd,2.5ba,"2,542 sqft","2638 Lyon St, San Francisco, CA is a 3 bedroom, 2.5 bathroom, 2,500 sqft single-family home built in 1913. 2638 Lyon St is located in Cow Hollow, San Francisco. 2638 Lyon St was listed for rent for $7,500/month on Mar 10, 2020.",Commute59% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$270,000 ",https://www.trulia.com/p/ca/san-francisco/2638-lyon-st-san-francisco-ca-94123--2083042255
261,"Outer Sunset, San Francisco, CA",1839 47th Ave,"$5,000/mo",3bd,2ba,"1,200 sqft","1839 47th Ave, San Francisco, CA is a 3 bedroom, 2 bathroom, 1,220 sqft single-family home built in 1944. 1839 47th Ave is located in Outer Sunset, San Francisco. 1839 47th Ave was listed for rent for $5,000/month on Mar 9, 2020.",Commute63% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$180,000 ",https://www.trulia.com/p/ca/san-francisco/1839-47th-ave-san-francisco-ca-94122--2083032011
262,"Potrero Hill, San Francisco, CA",1510 25th St,"$4,900/mo",2bd,2ba,"2,000 sqft","1510 25th St, San Francisco, CA is a 2 bedroom, 2 bathroom, 1,104 sqft single-family home. 1510 25th St is located in Potrero Hill, San Francisco. 1510 25th St was listed for rent for $4,900/month on Mar 12, 2020. This property is pet friendly.",Commute57% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$176,400 ",https://www.trulia.com/p/ca/san-francisco/1510-25th-st-san-francisco-ca-94107--2082862357
263,"Sunnyside, San Francisco, CA",319 Edna St,"$3,950/mo",2bd,1ba,"3,000 sqft","319 Edna St, San Francisco, CA is a 2 bedroom, 1 bathroom, 955 sqft single-family home built in 1924. 319 Edna St is located in Sunnyside, San Francisco. 319 Edna St was listed for rent for $3,950/month on Mar 9, 2020. This property is pet friendly.",Commute62% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$142,200 ",https://www.trulia.com/p/ca/san-francisco/319-edna-st-san-francisco-ca-94112--2082929364
264,"St. Francis Wood, San Francisco, CA",95 Junipero Serra Blvd,"$8,800/mo",4bd,3ba,"1,700 sqft","95 Junipero Serra Blvd, San Francisco, CA is a 4 bedroom, 3 bathroom, 3,340 sqft single-family home built in 1926. 95 Junipero Serra Blvd is located in St. Francis Wood, San Francisco. 95 Junipero Serra Blvd was listed for rent for $8,800/month on Mar 8, 2020.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$316,800 ",https://www.trulia.com/p/ca/san-francisco/95-junipero-serra-blvd-san-francisco-ca-94127--2083066937
265,"Parkside, San Francisco, CA",2220 Santiago St,"$4,400/mo",3bd,1ba,"2,100 sqft","2220 Santiago St, San Francisco, CA is a 3 bedroom, 1 bathroom, 1,550 sqft single-family home built in 1949. 2220 Santiago St is located in Parkside, San Francisco. 2220 Santiago St was listed for rent for $4,400/month on Mar 4, 2020.",Commute67% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$158,400 ",https://www.trulia.com/p/ca/san-francisco/2220-santiago-st-san-francisco-ca-94116--2082970505
266,"Outer Richmond, San Francisco, CA",762 36th Ave,"$4,650/mo",3bd,2ba,"2,073 sqft","762 36th Ave, San Francisco, CA is a 3 bedroom, 2 bathroom, 2,000 sqft single-family home. 762 36th Ave is located in Outer Richmond, San Francisco. 762 36th Ave was listed for rent for $4,650/month on Mar 9, 2020.",Commute60% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$167,400 ",https://www.trulia.com/p/ca/san-francisco/762-36th-ave-san-francisco-ca-94121--2206481991
267,"Lower Haight, San Francisco, CA",779 Page St,"$4,500/mo",2bd,1ba,600 sqft,"779 Page St, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,132 sqft single-family home built in 1911. 779 Page St is located in Lower Haight, San Francisco. 779 Page St was listed for rent for $4,500/month on Mar 11, 2020. This property is pet friendly.",Commute40% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$162,000 ",https://www.trulia.com/p/ca/san-francisco/779-page-st-san-francisco-ca-94117--1009734708
268,"Ashbury Heights, San Francisco, CA",1358 Cole St,"$4,450/mo",2bd,1ba,"1,950 sqft","1358 Cole St, San Francisco, CA is a 2 bedroom, 1 bathroom, 968 sqft single-family home built in 1946. 1358 Cole St is located in Ashbury Heights, San Francisco. 1358 Cole St was listed for rent for $4,450/month on Mar 10, 2020. This property is pet friendly.",Commute40% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$160,200 ",https://www.trulia.com/p/ca/san-francisco/1358-cole-st-san-francisco-ca-94117--2082981728
269,"Marina, San Francisco, CA",144 Alhambra St,"$6,000/mo",2bd,1ba,"1,950 sqft","144 Alhambra St, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,575 sqft single-family home built in 1925. 144 Alhambra St is located in Marina, San Francisco. 144 Alhambra St was listed for rent for $6,000/month on Mar 4, 2020.",Commute59% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$216,000 ",https://www.trulia.com/p/ca/san-francisco/144-alhambra-st-san-francisco-ca-94123--2083037391
270,"Merced Manor, San Francisco, CA",2965 24th Ave,"$7,500/mo",3bd,2ba,"1,200 sqft","2965 24th Ave, San Francisco, CA is a 3 bedroom, 2 bathroom, 1,977 sqft single-family home built in 1936. 2965 24th Ave is located in Merced Manor, San Francisco. 2965 24th Ave was listed for rent for $7,500/month on Mar 8, 2020. This property is pet friendly.",Commute68% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$270,000 ",https://www.trulia.com/p/ca/san-francisco/2965-24th-ave-san-francisco-ca-94132--1008960409
271,"Western Addition, San Francisco, CA",950 Pierce St,"$5,500/mo",3bd,2ba,"2,600 sqft","950 Pierce St, San Francisco, CA is a 3 bedroom, 2 bathroom, 1,850 sqft single-family home. 950 Pierce St is located in Western Addition, San Francisco. 950 Pierce St was listed for rent for $5,500/month on Mar 12, 2020. This property is pet friendly.",Commute49% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$198,000 ",https://www.trulia.com/p/ca/san-francisco/950-pierce-st-san-francisco-ca-94115--2082965092
272,"Eureka Valley, San Francisco, CA",472 Diamond St,"$7,500/mo",3bd,2ba,"3,571 sqft","472 Diamond St, San Francisco, CA is a 3 bedroom, 2 bathroom single-family home. 472 Diamond St is located in Eureka Valley, San Francisco. 472 Diamond St was listed for rent for $7,500/month on Mar 7, 2020.",Commute51% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$270,000 ",https://www.trulia.com/p/ca/san-francisco/472-diamond-st-san-francisco-ca-94114--1063873798
273,"Lake Street, San Francisco, CA",124 16th Ave,"$5,500/mo",2bd,1.5ba,"4,015 sqft","124 16th Ave, San Francisco, CA is a 2 bedroom, 1.5 bathroom, 1,200 sqft single-family home built in 1907. 124 16th Ave is located in Lake Street, San Francisco. 124 16th Ave was listed for rent for $5,500/month on Mar 10, 2020. This property is pet friendly.",Commute49% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$198,000 ",https://www.trulia.com/p/ca/san-francisco/124-16th-ave-san-francisco-ca-94118--2082993121
274,"Glen Park, San Francisco, CA",Address Not Disclosed,"$3,995/mo",1bd,1ba,"2,721 sqft","This home in San Francisco, CA is a 1 bedroom, 1 bathroom, 1,400 sqft single-family home built in 1927. This home is located in Glen Park, San Francisco. This property was listed for rent for $3,995/month on Mar 12, 2020. This property is pet friendly.",Commute59% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$143,820 ",https://www.trulia.com/p/ca/san-francisco/address-not-disclosed-san-francisco-ca-94131--2083069880
275,"Midtown Terrace, San Francisco, CA",47 Knollview Way,"$4,300/mo",2bd,1ba,"1,700 sqft","47 Knollview Way, San Francisco, CA is a 2 bedroom, 1 bathroom, 967 sqft single-family home built in 1958. 47 Knollview Way is located in Midtown Terrace, San Francisco. 47 Knollview Way was listed for rent for $4,300/month on Mar 5, 2020.",Commute59% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$154,800 ",https://www.trulia.com/p/ca/san-francisco/47-knollview-way-san-francisco-ca-94131--1009050233
276,"Parkside, San Francisco, CA",2475 23rd Ave,"$6,500/mo",4bd,2.5ba,"2,656 sqft","2475 23rd Ave, San Francisco, CA is a 4 bedroom, 2.5 bathroom, 1,849 sqft single-family home built in 1928. 2475 23rd Ave is located in Parkside, San Francisco. 2475 23rd Ave was listed for rent for $6,500/month on Mar 10, 2020.",Commute67% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$234,000 ",https://www.trulia.com/p/ca/san-francisco/2475-23rd-ave-san-francisco-ca-94116--2082974410
277,"Portola, San Francisco, CA",919 Silliman St,"$5,000/mo",4bd,3ba,"3,090 sqft","919 Silliman St, San Francisco, CA is a 4 bedroom, 3 bathroom, 2,000 sqft single-family home built in 1972. 919 Silliman St is located in Portola, San Francisco. 919 Silliman St was listed for rent for $5,000/month on Mar 4, 2020.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$180,000 ",https://www.trulia.com/p/ca/san-francisco/919-silliman-st-san-francisco-ca-94134--2083109553
278,"Golden Gate Heights, San Francisco, CA",2168 17th Ave,"$2,130/mo",1bd,1ba,"1,300 sqft","2168 17th Ave, San Francisco, CA is a 1 bedroom, 1 bathroom, 600 sqft single-family home built in 1925. 2168 17th Ave is located in Golden Gate Heights, San Francisco. 2168 17th Ave was listed for rent for $2,130/month on Mar 13, 2020.",Commute67% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$76,680 ",https://www.trulia.com/p/ca/san-francisco/2168-17th-ave-san-francisco-ca-94116--2082969806
279,"Buena Vista, San Francisco, CA",978 Haight St,"$4,400/mo",2bd,1ba,"3,005 sqft","978 Haight St, San Francisco, CA is a 2 bedroom, 1 bathroom, 950 sqft single-family home built in 1987. 978 Haight St is located in Buena Vista, San Francisco. 978 Haight St was listed for rent for $4,400/month on Mar 5, 2020. This property is pet friendly.",Commute40% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$158,400 ",https://www.trulia.com/p/ca/san-francisco/978-haight-st-san-francisco-ca-94117--1065480070
280,"Visitacion Valley, San Francisco, CA",66 Bishop St,"$3,400/mo",1bd,1ba,950 sqft,"66 Bishop St, San Francisco, CA is a 1 bedroom, 1 bathroom, 480 sqft single-family home built in 1922. 66 Bishop St is located in Visitacion Valley, San Francisco. 66 Bishop St was listed for rent for $3,400/month on Mar 11, 2020. This property is pet friendly.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$122,400 ",https://www.trulia.com/p/ca/san-francisco/66-bishop-st-san-francisco-ca-94134--2083108338
281,"Mission Terrace, San Francisco, CA",467 Silver Ave,"$3,500/mo",2bd,1ba,"2,000 sqft","467 Silver Ave, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,200 sqft single-family home built in 1946. 467 Silver Ave is located in Mission Terrace, San Francisco. 467 Silver Ave was listed for rent for $3,500/month on Mar 3, 2020.",Commute62% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$126,000 ",https://www.trulia.com/p/ca/san-francisco/467-silver-ave-san-francisco-ca-94112--2082932938
282,"Visitacion Valley, San Francisco, CA",Address Not Disclosed,"$4,850/mo",3bd,3ba,"1,600 sqft","This home in San Francisco, CA is a 3 bedroom, 3 bathroom, 1,550 sqft single-family home built in 1946. This home is located in Visitacion Valley, San Francisco. This property was listed for rent for $4,850/month on Mar 4, 2020. This property is pet friendly.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$174,600 ",https://www.trulia.com/p/ca/san-francisco/address-not-disclosed-san-francisco-ca-94134--2083107863
283,"Marina, San Francisco, CA",2166 Beach St,"$9,100/mo",2bd,2ba,"1,500 sqft","2166 Beach St, San Francisco, CA is a 2 bedroom, 2 bathroom, 1,700 sqft single-family home built in 1931. 2166 Beach St is located in Marina, San Francisco. 2166 Beach St was listed for rent for $9,100/month on Mar 5, 2020.",Commute59% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$327,600 ",https://www.trulia.com/p/ca/san-francisco/2166-beach-st-san-francisco-ca-94123--1045871869
284,"Pacific Heights, San Francisco, CA",2509 Sacramento St,"$9,900/mo",3bd,3ba,"2,100 sqft","2509 Sacramento St, San Francisco, CA is a 3 bedroom, 3 bathroom, 2,944 sqft single-family home. 2509 Sacramento St is located in Pacific Heights, San Francisco. 2509 Sacramento St was listed for rent for $9,900/month on Mar 3, 2020. This property is pet friendly.",Commute49% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$356,400 ",https://www.trulia.com/p/ca/san-francisco/2509-sacramento-st-san-francisco-ca-94115--2082961824
285,"Presidio Heights, San Francisco, CA",3657 Clay St,"$4,800/mo",2bd,2ba,"1,500 sqft","3657 Clay St, San Francisco, CA is a 2 bedroom, 2 bathroom, 988 sqft single-family home built in 1912. 3657 Clay St is located in Presidio Heights, San Francisco. 3657 Clay St was listed for rent for $4,800/month on Mar 12, 2020. This property is pet friendly.",Commute49% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$172,800 ",https://www.trulia.com/p/ca/san-francisco/3657-clay-st-san-francisco-ca-94118--1002430497
286,"University Mound, San Francisco, CA",418 Amherst St,"$5,000/mo",4bd,4ba,"1,500 sqft","418 Amherst St, San Francisco, CA is a 4 bedroom, 4 bathroom, 3,000 sqft single-family home built in 1992. 418 Amherst St is located in University Mound, San Francisco. 418 Amherst St was listed for rent for $5,000/month on Mar 9, 2020.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$180,000 ",https://www.trulia.com/p/ca/san-francisco/418-amherst-st-san-francisco-ca-94134--2083106247
287,"Buena Vista, San Francisco, CA",4514 17th St,"$5,350/mo",3bd,2.5ba,"1,375 sqft","4514 17th St, San Francisco, CA is a 3 bedroom, 2.5 bathroom, 1,586 sqft single-family home. 4514 17th St is located in Buena Vista, San Francisco. 4514 17th St was listed for rent for $5,350/month on Mar 9, 2020.",Commute51% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$192,600 ",https://www.trulia.com/p/ca/san-francisco/4514-17th-st-san-francisco-ca-94114--1044279467
288,"Eureka Valley, San Francisco, CA",49 Caselli Ave,"$9,995/mo",4bd,3ba,"1,600 sqft","49 Caselli Ave, San Francisco, CA is a 4 bedroom, 3 bathroom, 3,016 sqft single-family home built in 1912. 49 Caselli Ave is located in Eureka Valley, San Francisco. 49 Caselli Ave was listed for rent for $9,995/month on Mar 7, 2020.",Commute51% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$359,820 ",https://www.trulia.com/p/ca/san-francisco/49-caselli-ave-san-francisco-ca-94114--2082950606
289,"Western Addition, San Francisco, CA",1407 Golden Gate Ave,"$5,950/mo",3bd,1.5ba,"3,387 sqft","1407 Golden Gate Ave, San Francisco, CA is a 3 bedroom, 1.5 bathroom, 1,595 sqft single-family home built in 1890. 1407 Golden Gate Ave is located in Western Addition, San Francisco. 1407 Golden Gate Ave was listed for rent for $5,950/month on Mar 6, 2020. This property is pet friendly.",Commute49% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$214,200 ",https://www.trulia.com/p/ca/san-francisco/1407-golden-gate-ave-san-francisco-ca-94115--2082955382
290,"Parnassus Heights, San Francisco, CA",437 Carl St,"$3,500/mo",1bd,1ba,"5,500 sqft","437 Carl St, San Francisco, CA is a 1 bedroom, 1 bathroom, 581 sqft single-family home built in 1928. 437 Carl St is located in Parnassus Heights, San Francisco. 437 Carl St was listed for rent for $3,500/month on Mar 5, 2020. This property is pet friendly.",Commute40% of residents commute by car.,CrimeLow crime relative to the rest of San Francisco county.,"$126,000 ",https://www.trulia.com/p/ca/san-francisco/437-carl-st-san-francisco-ca-94117--1009162932
